attendee,title,start,end,expense,location,fiscal,overseas,region
Alan Bernstein,NASP Pension & Financial Services Conference,6/26/2017,6/28/2017,"$2,300",Los Angeles CA,FY16-17,N,
David Green,NASP Pension & Financial Services Conference,6/26/2017,6/28/2017,$150,Los Angeles CA,FY16-17,N,
Herman Santos,NASP Pension & Financial Services Conference,6/26/2017,6/28/2017,"$1,054",Los Angeles CA,FY16-17,N,
Marvin Adams,NASP Pension & Financial Services Conference,6/26/2017,6/28/2017,"$1,067",Los Angeles CA,FY16-17,N,
Vivian Gray,NASP Pension & Financial Services Conference,6/26/2017,6/28/2017,$808,Los Angeles CA,FY16-17,N,
Wayne Moore,NASP Pension & Financial Services Conference,6/26/2017,6/28/2017,$203,Los Angeles CA,FY16-17,N,
Vivian Gray,SACRS Committee & Board of Directors Meeting,6/19/2017,6/20/2017,"$1,477",Sacramento CA,FY16-17,N,
Alan Bernstein,Ignite 2017 Cybersecurity Conference,6/12/2017,6/15/2017,"$4,966","Vancouver, Canada",FY16-17,N,
Yves Chery,IFEBP Washington Legislative Update,5/23/2017,5/24/2017,"$1,415",Washington DC,FY16-17,N,
Alan Bernstein,NCPERS 2017 Annual Conference,5/21/2017,5/24/2017,"$4,597",Hollywood FL,FY16-17,N,
David Green,NCPERS 2017 Annual Conference,5/21/2017,5/24/2017,"$2,923",Hollywood FL,FY16-17,N,
Herman Santos,NCPERS 2017 Annual Conference,5/21/2017,5/24/2017,"$4,694",Hollywood FL,FY16-17,N,
Vivian Gray,NCPERS 2017 Annual Conference,5/21/2017,5/24/2017,"$5,973",Hollywood FL,FY16-17,N,
William Pryor,NCPERS 2017 Annual Conference,5/21/2017,5/24/2017,"$3,028",Hollywood FL,FY16-17,N,
Anthony Bravo,SACRS Spring Conference 2017,5/16/2017,5/19/2017,"$1,789",Napa CA,FY16-17,N,
Diane Sandoval,SACRS Spring Conference 2017,5/16/2017,5/19/2017,"$1,860",Napa CA,FY16-17,N,
Shawn Kehoe,SACRS Spring Conference 2017,5/16/2017,5/19/2017,"$1,816",Napa CA,FY16-17,N,
Vivian Gray,SACRS Spring Conference 2017,5/16/2017,5/19/2017,"$1,025",Napa CA,FY16-17,N,
Shawn Kehoe,Pension Briefing,5/12/2017,5/14/2017,$147,Hot Springs CA,FY16-17,N,
David Green,African Pension and Sovereign Wealth Fund Leaders' Summit,5/2/2017,5/3/2017,"$7,440","Johannesburg, South Africa",FY16-17,Y,AF
Yves Chery,IFEBP Healthcare ManagementConference,5/1/2017,5/3/2017,$50,New Orleans LA,FY16-17,N,
Herman Santos,Milken Institute Global Conference,4/30/2017,5/3/2017,"$1,990",Los Angeles CA,FY16-17,N,
Joseph Kelly,Milken Institute Global Conference,4/30/2017,5/3/2017,$105,Los Angeles CA,FY16-17,N,
Keith Knox,Milken Institute Global Conference,4/30/2017,5/3/2017,$105,Los Angeles CA,FY16-17,N,
Marvin Adams,Milken Institute Global Conference,4/30/2017,5/3/2017,"$2,532",Los Angeles CA,FY16-17,N,
Michael Schneider,Milken Institute Global Conference,4/30/2017,5/3/2017,$223,Los Angeles CA,FY16-17,N,
Wayne Moore,Milken Institute Global Conference,4/30/2017,5/3/2017,$321,Los Angeles CA,FY16-17,N,
Joseph Kelly,SuperReturn China Conference and Summit,4/24/2017,4/26/2017,"$8,644","Beijing, China",FY16-17,Y,AS
Shawn Kehoe,SuperReturn China Conference and Summit,4/24/2017,4/26/2017,"$14,327","Beijing, China",FY16-17,Y,AS
Dave Muir,CRCEA Spring Conference,4/23/2017,4/26/2017,$447,Ventura CA,FY16-17,N,
David Green,Pension Bridge Annual Conference,4/18/2017,4/19/2017,$497,San Francisco CA,FY16-17,N,
Michael Schneider,Pension Bridge Annual Conference,4/18/2017,4/19/2017,"$2,069",San Francisco CA,FY16-17,N,
Ronald Okum,Pension Bridge Annual Conference,4/18/2017,4/19/2017,"$1,494",San Francisco CA,FY16-17,N,
David Green,Attend due diligence administrative meeting,4/10/2017,4/10/2017,"$1,165",Albuquerque NM,FY16-17,N,
Shawn Kehoe,Attend due diligence administrative meeting,4/10/2017,4/10/2017,"$1,196",Albuquerque NM,FY16-17,N,
Joseph Kelly,GSAM Symposium,4/4/2017,4/5/2017,"$5,787",New York NY,FY16-17,N,
Wayne Moore,GSAM Symposium,4/4/2017,4/5/2017,"$4,631",New York NY,FY16-17,N,
Alan Bernstein,InfoSec World Conference & Expo 2017,4/3/2017,4/5/2017,"$3,725",Championsgate FL,FY16-17,N,
David Green,NASP's Seventh Annual Day of Education in Private Equity: A Forum for Trustees and Investment Staff,3/30/2017,3/30/2017,$428,Los Angeles CA,FY16-17,N,
Wayne Moore,NASP's Seventh Annual Day of Education in Private Equity: A Forum for Trustees and Investment Staff,3/30/2017,3/30/2017,$61,Los Angeles CA,FY16-17,N,
Keith Knox,CALAPRS Advanced Principles of Pension Management for Trustees,3/29/2017,3/31/2017,"$3,044",Los Angeles CA,FY16-17,N,
Anthony Bravo,AHIP's National Health Policy Conference,3/8/2017,3/9/2017,"$2,497",Washington DC,FY16-17,N,
Herman Santos,JP Morgan Private Equity Group Annual Meeting,3/8/2017,3/9/2017,"$3,693",New York NY,FY16-17,N,
Yves Chery,AHIP's National Health Policy Conference,3/8/2017,3/9/2017,"$2,228",Washington DC,FY16-17,N,
Shawn Kehoe,CALAPRS General Assembly,3/4/2017,3/7/2017,"$1,718",Monterey CA,FY16-17,N,
Yves Chery,SACRS Board of Directors Meeting,3/1/2017,3/1/2017,$406,Fresno CA,FY16-17,N,
Diane Sandoval,SuperReturn International Conference and Summit,2/27/2017,3/2/2017,"$11,521","Berlin, Germany",FY16-17,Y,EU
Herman Santos,SuperReturn International Conference and Summit,2/27/2017,3/2/2017,"$18,310","Berlin, Germany",FY16-17,Y,EU
Shawn Kehoe,CII Winter 2017 Conference,2/27/2017,3/1/2017,"$3,206",Washington DC,FY16-17,N,
Herman Santos,PREA Spring Conference,2/23/2017,2/24/2017,"$1,879",New York NY,FY16-17,N,
David Green,PPI's 2017 Winter Roundtable,2/22/2017,2/24/2017,"$2,753",Seattle WA,FY16-17,N,
Yves Chery,SACRS Legislative Committee Meeting,2/21/2017,2/21/2017,$366,Sacramento CA,FY16-17,N,
Yves Chery,CALAPRS Trustees Roundtable,2/3/2017,2/3/2017,$860,San Jose CA,FY16-17,N,
David Green,Upfront Summit 2017,1/31/2017,2/2/2017,$520,Los Angeles CA,FY16-17,N,
Marvin Adams,Upfront Summit 2017,1/31/2017,2/2/2017,"$1,402",Los Angeles CA,FY16-17,N,
Michael Schneider,Upfront Summit 2017,1/31/2017,2/2/2017,$83,Los Angeles CA,FY16-17,N,
Alan Bernstein,NCPERS Legislative Conference,1/29/2017,1/31/2017,"$2,964",Washington DC,FY16-17,N,
David Green,NCPERS Legislative Conference,1/29/2017,1/31/2017,"$2,850",Washington DC,FY16-17,N,
Herman Santos,NCPERS Legislative Conference,1/29/2017,1/31/2017,"$3,425",Washington DC,FY16-17,N,
Shawn Kehoe,NCPERS Legislative Conference,1/29/2017,1/31/2017,"$3,673",Washington DC,FY16-17,N,
Vivian Gray,NCPERS Legislative Conference,1/29/2017,1/31/2017,"$3,792",Washington DC,FY16-17,N,
Yves Chery,SACRS Board of Directors Meeting,1/25/2017,1/25/2017,$408,Merced CA,FY16-17,N,
Vivian Gray,SACRS Board of Directors Meeting,1/17/2017,1/18/2017,"$1,094",Sacramento CA,FY16-17,N,
Yves Chery,SACRS Board of Directors Meeting,1/17/2017,1/18/2017,$647,Sacramento CA,FY16-17,N,
Yves Chery,SACRS Board of Directors Meeting,12/13/2016,12/13/2016,$596,Sacramento CA,FY16-17,N,
Herman Santos,Game Change: Energy 2016,12/7/2016,12/8/2016,"$2,154",Houston TX,FY16-17,N,
Shawn Kehoe,Game Change: Energy 2016,12/7/2016,12/8/2016,"$1,889",Houston TX,FY16-17,N,
Joseph Kelly,SuperReturn Africa Conference and Summit,11/29/2016,12/1/2016,"$10,053","Cape Town, South Africa",FY16-17,Y,AF
Michael Schneider,SuperReturn Africa Conference and Summit,11/29/2016,12/1/2016,"$11,773","Cape Town, South Africa",FY16-17,Y,AF
Alan Bernstein,IFEBP 62nd Annual Employee Benefits Conference,11/13/2016,11/16/2016,"$5,784",Orlando FL,FY16-17,N,
Yves Chery,IFEBP 62nd Annual Employee Benefits Conference,11/13/2016,11/16/2016,"$3,242",Orlando FL,FY16-17,N,
Joseph Kelly,SACRS 2016 Fall Conference,11/8/2016,11/11/2016,$120,Indian Wells CA,FY16-17,N,
Marvin Adams,SACRS 2016 Fall Conference,11/8/2016,11/11/2016,"$1,193",Indian Wells CA,FY16-17,N,
Michael Schneider,SACRS 2016 Fall Conference,11/8/2016,11/11/2016,$890,Indian Wells CA,FY16-17,N,
Ronald Okum,SACRS 2016 Fall Conference,11/8/2016,11/11/2016,$377,Indian Wells CA,FY16-17,N,
Vivian Gray,SACRS 2016 Fall Conference,11/8/2016,11/11/2016,"$1,217",Indian Wells CA,FY16-17,N,
William De La Garza,SACRS 2016 Fall Conference,11/8/2016,11/11/2016,$377,Indian Wells CA,FY16-17,N,
Yves Chery,SACRS 2016 Fall Conference,11/8/2016,11/11/2016,"$1,129",Indian Wells CA,FY16-17,N,
Herman Santos,Milken Institute 2016 California Summit,10/25/2016,10/25/2016,$263,Los Angeles CA,FY16-17,N,
David Green,2016 Pacific Pension Institute Executive Seminar and Asia Roundtable,10/23/2016,10/28/2016,"$9,520","Hong Kong, China",FY16-17,Y,AS
Shawn Kehoe,2016 Pacific Pension Institute Executive Seminar and Asia Roundtable,10/23/2016,10/28/2016,"$10,635","Hong Kong, China",FY16-17,Y,AS
Valerie Villarreal,2016 Pacific Pension Institute Executive Seminar and Asia Roundtable,10/23/2016,10/28/2016,"$13,947","Hong Kong, China",FY16-17,Y,AS
Les Robbins,AHIP National Conference on Medicare and Duals,10/23/2016,10/25/2016,"$3,427",Washington DC,FY16-17,N,
Marvin Adams,NCPERS Public Safety Employees Pension and Benefits Conference,10/23/2016,10/26/2016,"$1,245",Las Vegas NV,FY16-17,N,
William Pryor,NCPERS Public Safety Employees Pension and Benefits Conference,10/23/2016,10/26/2016,"$2,163",Las Vegas NV,FY16-17,N,
Yves Chery,AHIP National Conference on Medicare and Duals,10/23/2016,10/25/2016,"$2,632",Washington DC,FY16-17,N,
Dave Muir,CRCEA Fall Conference,10/17/2016,10/19/2016,"$1,075",Walnut Creek CA,FY16-17,N,
Herman Santos,SuperReturn Middle East Conference and Summit,10/17/2016,10/19/2016,"$10,979","Dubai, United Arab Emirates",FY16-17,Y,ME
Marvin Adams,CRCEA Fall Conference,10/17/2016,10/19/2016,"$1,570",Walnut Creek CA,FY16-17,N,
Herman Santos,PREA Institutional Investor Real Estate Conference,9/28/2016,9/30/2016,"$2,793",Washington DC,FY16-17,N,
Vivian Gray,CII Fall Conference,9/28/2016,9/30/2016,"$1,882",Chicago IL,FY16-17,N,
Yves Chery,CII Fall Conference,9/28/2016,9/30/2016,"$1,640",Chicago IL,FY16-17,N,
Vivian Gray,SACRS Board of Directors Meeting,9/19/2016,9/20/2016,$367,Sacramento CA,FY16-17,N,
Yves Chery,SACRS Board of Directors Meeting,9/19/2016,9/20/2016,$555,Sacramento CA,FY16-17,N,
Yves Chery,SACRS Legislative Committee Meeting,9/16/2016,9/16/2016,$258,Sacramento CA,FY16-17,N,
Marvin Adams,Public Retirement Journal Seminar,9/8/2016,9/8/2016,$900,Sacramento CA,FY16-17,N,
David Green,Conduct RFP finalist interviews with StepStone and TorreyCove,8/22/2016,8/22/2016,$492,San Diego CA,FY16-17,N,
Valerie Villarreal,Conduct RFP finalist interviews with StepStone and TorreyCove,8/22/2016,8/22/2016,$488,San Diego CA,FY16-17,N,
Vivian Gray,NCPERS Public Pension Financial Forum,8/21/2016,8/23/2016,$50,New Haven CT,FY16-17,N,
Keith Knox,CALAPRS Principles for Pension Management for Trustees,8/9/2016,8/12/2016,"$2,500",Malibu CA,FY16-17,N,
Marvin Adams,CALAPRS Principles for Pension Management for Trustees,8/9/2016,8/12/2016,"$2,560",Malibu CA,FY16-17,N,
Diane Sandoval,Pension Bridge Private Equity Exclusive Conference,7/25/2016,7/26/2016,"$2,225",Chicago IL,FY16-17,N,
Michael Schneider,IFEPB International & Emerging Market Investing,7/25/2016,7/27/2016,"$5,739",San Francisco CA,FY16-17,N,
Yves Chery,IFEPB International & Emerging Market Investing,7/25/2016,7/27/2016,"$5,547",San Francisco CA,FY16-17,N,
Vivian Gray,SACRS Board of Directors Meeting,7/11/2016,7/12/2016,"$1,816",Sacramento CA,FY16-17,N,
Yves Chery,SACRS Board of Directors Meeting,7/11/2016,7/12/2016,$394,Sacramento CA,FY16-17,N,
Herman Santos,Pomerantz Annual Corporate Governance & Litigation Roundtable,6/30/2016,6/30/2016,$491,Beverly Hills CA,FY15-16,N,
Marvin Adams,Pomerantz Annual Corporate Governance & Litigation Roundtable,6/30/2016,6/30/2016,$525,Beverly Hills CA,FY15-16,N,
Vivian Gray,Pomerantz Annual Corporate Governance & Litigation Roundtable,6/30/2016,6/30/2016,$570,Beverly Hills CA,FY15-16,N,
David Green,RFKennedy Annual Compass Conference,6/27/2016,6/29/2016,"$3,038",Hyannis Port MA,FY15-16,N,
Joseph Kelly,2RFKennedy Annual Compass Conference,6/27/2016,6/29/2016,"$2,404",Hyannis Port MA,FY15-16,N,
Marvin Adams,ICGN's Annual Conference,6/27/2016,6/29/2016,"$2,842",San Francisco CA,FY15-16,N,
Yves Chery,SACRS Board of Directors Meeting,6/24/2016,6/24/2016,$480,Sacramento CA,FY15-16,N,
Valerie Villarreal,PREA Institute,6/23/2016,6/24/2016,$556,Los Angeles CA,FY15-16,N,
Herman Santos,TLF National Convening Conference,6/20/2016,6/22/2016,"$2,796",Cambridge MA,FY15-16,N,
Vivian Gray,TLF National Convening Conference,6/20/2016,6/22/2016,"$2,881",Cambridge MA,FY15-16,N,
Yves Chery,SACRS Legislative Committee,6/17/2016,6/17/2016,$535,Sacramento CA,FY15-16,N,
Shawn Kehoe,AHIP's Institute & Expo 2016,6/15/2016,6/17/2016,"$2,036",Las Vegas NV,FY15-16,N,
Marvin Adams,NASP's 27th Annual Pension and Financial Services Conference,6/13/2016,6/15/2016,$50,Atlanta GA,FY15-16,N,
Vivian Gray,NASP's 27th Annual Pension and Financial Services Conference,6/13/2016,6/15/2016,"$2,345",Atlanta GA,FY15-16,N,
Les Robbins,IFEBP Washington Legislative Update,5/23/2016,5/24/2016,"$3,337",Washington DC,FY15-16,N,
Yves Chery,FEBP Washington Legislative Update,5/23/2016,5/24/2016,"$2,614",Washington DC,FY15-16,N,
Anthony Bravo,NCPERS Annual Conference,5/14/2016,5/19/2016,"$3,025",San Diego CA,FY15-16,N,
Shawn Kehoe,NCPERS Annual Conference,5/14/2016,5/19/2016,"$2,625",San Diego CA,FY15-16,N,
Vivian Gray,NCPERS Annual Conference,5/14/2016,5/19/2016,"$2,494",San Diego CA,FY15-16,N,
William Pryor,NCPERS Annual Conference,5/14/2016,5/19/2016,"$2,023",San Diego CA,FY15-16,N,
Yves Chery,NCPERS Annual Conference,5/14/2016,5/19/2016,"$1,608",San Diego CA,FY15-16,N,
Anthony Bravo,SACRS Annual Spring Conference,5/10/2016,5/13/2016,"$1,184",Costa Mesa CA,FY15-16,N,
David Muir,SACRS Annual Spring Conference,5/10/2016,5/13/2016,$186,Costa Mesa CA,FY15-16,N,
Les Robbins,SACRS Annual Spring Conference,5/10/2016,5/13/2016,$120,Costa Mesa CA,FY15-16,N,
Marvin Adams,SACRS Annual Spring Conference,5/10/2016,5/13/2016,"$1,146",Costa Mesa CA,FY15-16,N,
Michael Schneider,SACRS Annual Spring Conference,5/10/2016,5/13/2016,$497,Costa Mesa CA,FY15-16,N,
Shawn Kehoe,SACRS Annual Spring Conference,5/10/2016,5/13/2016,$120,Costa Mesa CA,FY15-16,N,
Vivian Gray,SACRS Annual Spring Conference,5/10/2016,5/13/2016,"$1,271",Costa Mesa CA,FY15-16,N,
William de la Garza,SACRS Annual Spring Conference,5/10/2016,5/13/2016,$655,Costa Mesa CA,FY15-16,N,
Yves Chery,SACRS Annual Spring Conference,5/10/2016,5/13/2016,$933,Costa Mesa CA,FY15-16,N,
Yves Chery,SACRS Board Meeting,5/4/2016,5/4/2016,$463,Sacramento CA,FY15-16,N,
Anthony Bravo,2016 Milken Institute Global Conference,5/1/2016,5/4/2016,$693,Beverly Hills CA,FY15-16,N,
David Green,2016 Milken Institute Global Conference,5/1/2016,5/4/2016,"$1,318",Beverly Hills CA,FY15-16,N,
Herman Santos,2016 Milken Institute Global Conference,5/1/2016,5/4/2016,"$1,391",Beverly Hills CA,FY15-16,N,
Marvin Adams,2016 Milken Institute Global Conference,5/1/2016,5/4/2016,"$2,256",Beverly Hills CA,FY15-16,N,
Michael Schneider,2016 Milken Institute Global Conference,5/1/2016,5/4/2016,$90,Beverly Hills CA,FY15-16,N,
Shawn Kehoe,2016 Milken Institute Global Conference,5/1/2016,5/4/2016,"$3,915",Beverly Hills CA,FY15-16,N,
Vivian Gray,2016 Milken Institute Global Conference,5/1/2016,5/4/2016,"$1,178",Beverly Hills CA,FY15-16,N,
Yves Chery,2016 Milken Institute Global Conference,5/1/2016,5/4/2016,$90,Beverly Hills CA,FY15-16,N,
Herman Santos,2016 Institute Fund Summit,4/25/2016,4/26/2016,"$12,005",Singapore,FY15-16,Y,AS
Marvin Adams,IFEBP's Health Care Management Conference,4/11/2016,4/13/2016,"$2,680",Phoenix AZ,FY15-16,N,
William de la Garza,CRCEA Spring Conference,4/11/2016,4/13/2016,$775,Bakersfield CA,FY15-16,N,
Anthony Bravo,World Health Care Congress,4/10/2016,4/13/2016,"$2,757",Washington DC,FY15-16,N,
Les Robbins,World Health Care Congress,4/10/2016,4/13/2016,"$2,654",Washington DC,FY15-16,N,
Yves Chery,World Health Care Congress,4/10/2016,4/13/2016,"$2,165",Washington DC,FY15-16,N,
Valerie Villarreal,Conduct Real Estate site visit at WREN property,4/7/2016,4/7/2016,$98,Los Angeles CA,FY15-16,N,
David Muir,28th Annual Public Retirement Seminar,3/24/2016,3/24/2016,$200,Lakewood CA,FY15-16,N,
Les Robbins,28th Annual Public Retirement Seminar,3/24/2016,3/24/2016,$200,Lakewood CA,FY15-16,N,
William de la Garza,28th Annual Public Retirement Seminar,3/24/2016,3/24/2016,$200,Lakewood CA,FY15-16,N,
David Green,CII Spring Conference,3/21/2016,3/23/2016,"$3,247",Washington DC,FY15-16,N,
Herman Santos,CII Spring Conference,3/21/2016,3/23/2016,"$2,259",Washington DC,FY15-16,N,
Vivian Gray,SACRS Board Program Meeting,3/14/2016,3/16/2016,$902,Sacramento CA,FY15-16,N,
Yves Chery,SACRS Board Program Meeting,3/14/2016,3/16/2016,$808,Sacramento CA,FY15-16,N,
Joseph Kelly,"WIIIN Luncheon: Sustainable Investing, Governance, and Diversity",3/11/2016,3/11/2016,$70,Los Angeles CA,FY15-16,N,
Vivian Gray,"WIIIN Luncheon: Sustainable Investing, Governance, and Diversity An Institutional Perspective",3/11/2016,3/11/2016,$60,Los Angeles CA,FY15-16,N,
Anthony Bravo,AHIP National Health Policy Conference,3/9/2016,3/10/2016,"$2,196",Washington DC,FY15-16,N,
Les Robbins,AHIP National Health Policy Conference,3/9/2016,3/10/2016,"$2,158",Washington DC,FY15-16,N,
Yves Chery,AHIP National Health Policy Conference,3/9/2016,3/10/2016,"$2,202",Washington DC,FY15-16,N,
David Green,NIRS Conference,2/29/2016,3/1/2016,"$2,619",Washington DC,FY15-16,N,
David Muir,NIRS Conference,2/29/2016,3/1/2016,"$1,612",Washington DC,FY15-16,N,
Joseph Kelly,2016 Winter Roundtable,2/24/2016,2/26/2016,"$1,574",Rancho Palos Verdes CA,FY15-16,N,
Yves Chery,SACRS Legislative Committee and Board of Directors Meetings,2/24/2016,2/24/2016,$503,Sacramento CA,FY15-16,N,
Yves Chery,CALAPRS Trustee Roundtable,2/5/2016,2/5/2016,$30,Burbank CA,FY15-16,N,
Michael Schneider,2016 Upfront Conference,2/2/2016,2/4/2016,$35,Santa Monica CA,FY15-16,N,
Yves Chery,SEIU Diversity & Dollars in California,2/1/2016,2/1/2016,$21,Los Angeles CA,FY15-16,N,
Diane Sandoval,PIMCO Institute Special Edition Seminar,1/26/2016,1/27/2016,$321,Newport Beach CA,FY15-16,N,
Anthony Bravo,13th Annual Made in America: 2016 Taft-Hartley Benefits Summit,1/24/2016,1/26/2016,"$1,927",Las Vegas NV,FY15-16,N,
Shawn Kehoe,13th Annual Made in America: 2016 Taft-Hartley Benefits Summit,1/24/2016,1/26/2016,"$2,120",Las Vegas NV,FY15-16,N,
Herman Santos,IFEBP Pension Trustee Training,1/11/2016,1/12/2016,"$2,536",Washington DC,FY15-16,N,
Vivian Gray,IFEBP Pension Trustee Training,1/11/2016,1/12/2016,"$2,737",Washington DC,FY15-16,N,
Yves Chery,SACRS Board & Program Committee Meeting,1/11/2016,1/11/2016,$874,Sacramento CA,FY15-16,N,
Yves Chery,SACRS Board of Directors Meeting,12/16/2015,12/16/2015,$509,Sacramento CA,FY15-16,N,
Yves Chery,Los Angeles County Women's Leadership Conference,12/10/2015,12/10/2015,$105,Pasadena CA,FY15-16,N,
David Green,AVCJ's 16th Annual Private Equity & Venture Forum,12/1/2015,12/2/2015,"$9,237","Mumbai, India",FY15-16,Y,AS
Herman Santos,AVCJ's 16th Annual Private Equity & Venture Forum,12/1/2015,12/2/2015,"$10,633","Mumbai, India",FY15-16,Y,AS
Anthony Bravo,SACRS Fall Conference 2015,11/17/2015,11/20/2015,"$1,708",San Diego CA,FY15-16,N,
John Barger,SACRS Fall Conference 2015,11/17/2015,11/20/2015,$692,San Diego CA,FY15-16,N,
Shawn Kehoe,SACRS Fall Conference 2015,11/17/2015,11/20/2015,"$1,653",San Diego CA,FY15-16,N,
Vivian Gray,SACRS Fall Conference 2015,11/17/2015,11/20/2015,"$1,339",San Diego CA,FY15-16,N,
William de la Garza,SACRS Fall Conference 2015,11/17/2015,11/20/2015,$120,San Diego CA,FY15-16,N,
Yves Chery,SACRS Fall Conference 2015,11/17/2015,11/20/2015,"$1,421",San Diego CA,FY15-16,N,
Alan Bernstein,IFEBP 61st U.S. Annual Employee Benefits Conference,11/8/2015,11/11/2015,"$5,481",Honolulu HI,FY15-16,N,
Anthony Bravo,IFEBP 61st U.S. Annual Employee Benefits Conference,11/8/2015,11/11/2015,"$4,724",Honolulu HI,FY15-16,N,
Les Robbins,IFEBP 61st U.S. Annual Employee Benefits Conference,11/8/2015,11/11/2015,"$3,981",Honolulu HI,FY15-16,N,
Vivian Gray,IFEBP 61st U.S. Annual Employee Benefits Conference,11/8/2015,11/11/2015,"$5,481",Honolulu HI,FY15-16,N,
Yves Chery,IFEBP 61st U.S. Annual Employee Benefits Conference,11/8/2015,11/11/2015,$50,Honolulu HI,FY15-16,N,
Herman Santos,15th Annual GSAM Symposium,11/4/2015,11/5/2015,"$5,510",New York NY,FY15-16,N,
John Barger,15th Annual GSAM Symposium,11/4/2015,11/5/2015,"$5,407",New York NY,FY15-16,N,
David Green,ACGA 15th Annual Conference,11/3/2015,11/4/2015,"$7,650","Kuala Lumpur, Malaysia",FY15-16,Y,AS
Alan Bernstein,NCPERS Public Safety Employees Pension & Benefits Conference,10/25/2015,10/28/2015,"$1,765",Rancho Mirage CA,FY15-16,N,
John Barger,Pacific Pension Institute Executive Seminar and Asia Roundtable,10/25/2015,10/30/2015,"$12,058","Tokyo, Japan",FY15-16,Y,AS
Joseph Kelly,Pacific Pension Institute Executive Seminar and Asia Roundtable,10/25/2015,10/30/2015,"$9,948","Tokyo, Japan",FY15-16,Y,AS
William Pryor,NCPERS Public Safety Employees Pension & Benefits Conference,10/25/2015,10/28/2015,"$1,320",Rancho Mirage CA,FY15-16,N,
Diane Sandoval,CRCEA Fall Conference,10/19/2015,10/21/2015,$674,Stockton CA,FY15-16,N,
William de la Garza,CRCEA Fall Conference,10/19/2015,10/21/2015,"$1,056",Stockton CA,FY15-16,N,
Yves Chery,CRCEA Fall Conference,10/19/2015,10/21/2015,$560,Stockton CA,FY15-16,N,
Alan Bernstein,AHIP National Conferences on Medicare and Medicaid and Dual Eligibles Summit,10/18/2015,10/22/2015,"$3,365",Washington DC,FY15-16,N,
Anthony Bravo,AHIP National Conferences on Medicare and Medicaid and Dual Eligibles Summit,10/18/2015,10/22/2015,"$2,848",Washington DC,FY15-16,N,
Vivian Gray,AHIP National Conferences on Medicare and Medicaid and Dual Eligibles Summit,10/18/2015,10/22/2015,"$3,350",Washington DC,FY15-16,N,
Alan Bernstein,CII Fall Conference,9/30/2015,10/2/2015,"$2,727",Boston MA,FY15-16,N,
Herman Santos,CII Fall Conference,9/30/2015,10/2/2015,"$3,164",Boston MA,FY15-16,N,
Vivian Gray,CII Fall Conference,9/30/2015,10/2/2015,"$2,856",Boston MA,FY15-16,N,
Valerie Villarreal,Wharton School of Business' Refresher Workshop in Core Investment Concepts & the Advanced Investments Management Course,9/28/2015,10/2/2015,"$8,053",Philadelphia PA,FY15-16,N,
John Barger,Annual Alpha Hedge West,9/27/2015,9/29/2015,"$1,173",San Francisco CA,FY15-16,N,
Vivian Gray,CALAPRS Trustee Roundtable,9/18/2015,9/18/2015,$374,San Jose CA,FY15-16,N,
Yves Chery,SACRS Legislative Committee Meeting,9/18/2015,9/18/2015,$363,Sacramento CA,FY15-16,N,
Vivian Gray,CALAPRS Course in Retirement Disability Administration,9/17/2015,9/17/2015,$344,San Jose CA,FY15-16,N,
Vivian Gray,SACRS Committee and Board Meeting,9/15/2015,9/15/2015,$804,Sacramento CA,FY15-16,N,
Yves Chery,SACRS Board of Directors Meeting,9/14/2015,9/15/2015,$564,Sacramento CA,FY15-16,N,
Diane Sandoval,Onsite due diligence for Real Estate Consultant RFP candidates,8/31/2015,9/3/2015,"$2,111","Cleveland, OH",FY15-16,N,
Yves Chery,SACRS Ad Hoc Committee,8/28/2015,8/28/2015,$322,Berkeley CA,FY15-16,N,
Anthony Bravo,CALAPRS Principles of Pension Management for Trustees 2015,8/25/2015,8/28/2015,"$2,667",Malibu CA,FY15-16,N,
David Green,CALAPRS Principles of Pension Management for Trustees 2015,8/25/2015,8/28/2015,"$2,500",Malibu CA,FY15-16,N,
Joseph Kelly,CALAPRS Principles of Pension Management for Trustees 2015,8/25/2015,8/28/2015,"$2,500",Malibu CA,FY15-16,N,
Vivian Gray,NCPERS Public Pension Funding Forum,8/23/2015,8/25/2015,"$1,285",Berkeley CA,FY15-16,N,
Yves Chery,NCPERS Public Pension Funding Forum,8/23/2015,8/25/2015,"$1,554",Berkeley CA,FY15-16,N,
Diane Sandoval,IFEBP Alternative Investment Strategies Course,7/27/2015,7/29/2015,"$4,860",San Francisco CA,FY15-16,N,
Anthony Bravo,SACRS Public Pension Investment Management Program,7/26/2015,7/29/2015,"$3,968",Berkeley CA,FY15-16,N,
Yves Chery,SACRS Public Pension Investment Management Program,7/26/2015,7/29/2015,$746,Berkeley CA,FY15-16,N,
John Barger,2015 Pacific Pension Institute Roundtable,7/22/2015,7/24/2015,"$2,617",San Francisco CA,FY15-16,N,
John Barger,Fortune Brainstorm Tech Conference,7/13/2015,7/15/2015,"$9,361",Aspen CO,FY15-16,N,
Yves Chery,SACRS Board of Directors Meeting,7/13/2015,7/13/2015,$286,Sacramento CA,FY15-16,N,
Yves Chery,SACRS Board Meeting,7/7/2015,7/7/2015,$697,Sacramento CA,FY15-16,N,
