"id","country","age","month","visitors"
"230","Denmark","51-60","1/1/2010",77
"231","Denmark","61+","1/1/2010",31
"232","Norway","Total","1/1/2010",946
"233","Norway","0-20","1/1/2010",69
"234","Norway","21-30","1/1/2010",110
"235","Norway","31-40","1/1/2010",225
"236","Norway","41-50","1/1/2010",241
"237","Norway","51-60","1/1/2010",175
"238","Norway","61+","1/1/2010",63
"239","Belgium","Total","1/1/2010",460
"240","Belgium","0-20","1/1/2010",33
"241","Belgium","21-30","1/1/2010",54
"242","Belgium","31-40","1/1/2010",105
"243","Belgium","41-50","1/1/2010",115
"244","Belgium","51-60","1/1/2010",78
"245","Belgium","61+","1/1/2010",18
"246","Austria","Total","1/1/2010",605
"247","Austria","0-20","1/1/2010",58
"248","Austria","21-30","1/1/2010",109
"249","Austria","31-40","1/1/2010",132
"250","Austria","41-50","1/1/2010",118
"251","Austria","51-60","1/1/2010",70
"252","Austria","61+","1/1/2010",35
"253","Spain","Total","1/1/2010",698
"254","Spain","0-20","1/1/2010",31
"255","Spain","21-30","1/1/2010",146
"256","Spain","31-40","1/1/2010",217
"257","Spain","41-50","1/1/2010",134
"258","Spain","51-60","1/1/2010",78
"259","Spain","61+","1/1/2010",31
"260","Greece","Total","1/1/2010",605
"261","Greece","0-20","1/1/2010",5
"262","Greece","21-30","1/1/2010",66
"263","Greece","31-40","1/1/2010",127
"264","Greece","41-50","1/1/2010",103
"265","Greece","51-60","1/1/2010",76
"266","Greece","61+","1/1/2010",22
"267","Portugal","Total","1/1/2010",310
"268","Portugal","0-20","1/1/2010",22
"269","Portugal","21-30","1/1/2010",87
"270","Portugal","31-40","1/1/2010",77
"271","Portugal","41-50","1/1/2010",55
"272","Portugal","51-60","1/1/2010",32
"273","Portugal","61+","1/1/2010",4
"274","Finland","Total","1/1/2010",535
"275","Finland","0-20","1/1/2010",15
"276","Finland","21-30","1/1/2010",66
"277","Finland","31-40","1/1/2010",134
"278","Finland","41-50","1/1/2010",109
"279","Finland","51-60","1/1/2010",59
"280","Finland","61+","1/1/2010",33
"281","Ireland","Total","1/1/2010",526
"282","Ireland","0-20","1/1/2010",14
"283","Ireland","21-30","1/1/2010",218
"284","Ireland","31-40","1/1/2010",134
"285","Ireland","41-50","1/1/2010",80
"286","Ireland","51-60","1/1/2010",33
"287","Ireland","61+","1/1/2010",31
"288","Ukraine","Total","1/1/2010",1936
"289","Ukraine","0-20","1/1/2010",18
"290","Ukraine","21-30","1/1/2010",135
"291","Ukraine","31-40","1/1/2010",113
"292","Ukraine","41-50","1/1/2010",125
"293","Ukraine","51-60","1/1/2010",71
"294","Ukraine","61+","1/1/2010",5
"295","Russia","Total","1/1/2010",10873
"296","Russia","0-20","1/1/2010",812
"297","Russia","21-30","1/1/2010",1074
"298","Russia","31-40","1/1/2010",1448
"299","Russia","41-50","1/1/2010",1522
"300","Russia","51-60","1/1/2010",985
"301","Russia","61+","1/1/2010",234
"302","Croatia","Total","1/1/2010",485
"303","Croatia","0-20","1/1/2010",4
"304","Croatia","21-30","1/1/2010",33
"305","Croatia","31-40","1/1/2010",55
"306","Croatia","41-50","1/1/2010",48
"307","Croatia","51-60","1/1/2010",40
"308","Croatia","61+","1/1/2010",12
"309","Romania","Total","1/1/2010",533
"310","Romania","0-20","1/1/2010",3
"311","Romania","21-30","1/1/2010",36
"312","Romania","31-40","1/1/2010",60
"313","Romania","41-50","1/1/2010",56
"314","Romania","51-60","1/1/2010",23
"315","Romania","61+","1/1/2010",1
"316","Bulgaria","Total","1/1/2010",526
"317","Bulgaria","0-20","1/1/2010",3
"318","Bulgaria","21-30","1/1/2010",35
"319","Bulgaria","31-40","1/1/2010",35
"320","Bulgaria","41-50","1/1/2010",24
"321","Bulgaria","51-60","1/1/2010",24
"322","Bulgaria","61+","1/1/2010",1
"323","Poland","Total","1/1/2010",848
"324","Poland","0-20","1/1/2010",17
"325","Poland","21-30","1/1/2010",127
"326","Poland","31-40","1/1/2010",128
"327","Poland","41-50","1/1/2010",65
"328","Poland","51-60","1/1/2010",77
"329","Poland","61+","1/1/2010",27
"330","Australia","Total","1/1/2010",8431
"331","Australia","0-20","1/1/2010",1383
"332","Australia","21-30","1/1/2010",2131
"333","Australia","31-40","1/1/2010",1426
"334","Australia","41-50","1/1/2010",1428
"335","Australia","51-60","1/1/2010",1226
"336","Australia","61+","1/1/2010",500
"337","New Zealand","Total","1/1/2010",2035
"338","New Zealand","0-20","1/1/2010",328
"339","New Zealand","21-30","1/1/2010",521
"340","New Zealand","31-40","1/1/2010",412
"341","New Zealand","41-50","1/1/2010",341
"342","New Zealand","51-60","1/1/2010",255
"343","New Zealand","61+","1/1/2010",95
"344","South Africa Union","Total","1/1/2010",788
"345","South Africa Union","0-20","1/1/2010",34
"346","South Africa Union","21-30","1/1/2010",333
"347","South Africa Union","31-40","1/1/2010",146
"348","South Africa Union","41-50","1/1/2010",96
"349","South Africa Union","51-60","1/1/2010",57
"350","South Africa Union","61+","1/1/2010",21
"351","Total","Total","1/1/2010",569453
"352","Total","0-20","1/1/2010",36408
"353","Total","21-30","1/1/2010",111703
"354","Total","31-40","1/1/2010",118461
"355","Total","41-50","1/1/2010",103597
"356","Total","51-60","1/1/2010",81565
"357","Total","61+","1/1/2010",51635
"358","Japan","Total","1/1/2010",230362
"359","Japan","0-20","1/1/2010",13857
"360","Japan","21-30","1/1/2010",61222
"361","Japan","31-40","1/1/2010",42003
