GEOID,CityProvinceID,CityProvince,MunicipalityID,Municipality,TotalPopulation,ForeignPopulation,ForeignerRate
3535060,35,Jeollabuk-do,35060,Gimje-si,90108,1897,2.11
3535310,35,Jeollabuk-do,35310,Wanju-gun,90377,2370,2.62
3535320,35,Jeollabuk-do,35320,Jinan-gun,26474,329,1.24
3535330,35,Jeollabuk-do,35330,Muju-gun,25390,242,0.95
3535340,35,Jeollabuk-do,35340,Jangsu-gun,23335,393,1.68
3535350,35,Jeollabuk-do,35350,Imsil-gun,29966,363,1.21
3535360,35,Jeollabuk-do,35360,Sunchang-gun,30368,369,1.22
3535370,35,Jeollabuk-do,35370,Gochang-gun,60090,902,1.5
3535380,35,Jeollabuk-do,35380,Buan-gun,57534,643,1.12
3636010,36,Jeollanam-do,36010,Mokpo-si,239109,2977,1.25
3636020,36,Jeollanam-do,36020,Yeosu-si,290900,3745,1.29
3636030,36,Jeollanam-do,36030,Suncheon-si,277188,1867,0.67
3636040,36,Jeollanam-do,36040,Naju-si,90669,2154,2.38
3636060,36,Jeollanam-do,36060,Gwangyang-si,152097,1739,1.14
3636310,36,Jeollanam-do,36310,Damyang-gun,47177,1063,2.25
3636320,36,Jeollanam-do,36320,Gokseong-gun,30732,383,1.25
3636330,36,Jeollanam-do,36330,gurye-gun,27170,234,0.86
3636350,36,Jeollanam-do,36350,Goheung-gun,69641,790,1.13
3636360,36,Jeollanam-do,36360,Boseong-gun,45882,421,0.92
3636370,36,Jeollanam-do,36370,Hwasun-gun,66772,995,1.49
3636380,36,Jeollanam-do,36380,Jangheung-gun,43190,532,1.23
3636390,36,Jeollanam-do,36390,Gangjin-gun,39861,428,1.07
3636400,36,Jeollanam-do,36400,Haenam-gun,76981,1295,1.68
3636410,36,Jeollanam-do,36410,Yeongam-gun,58852,5505,9.35
3636420,36,Jeollanam-do,36420,Muan-gun,81696,1477,1.81
3636430,36,Jeollanam-do,36430,Hampyeong-gun,35090,658,1.88
3636440,36,Jeollanam-do,36440,Yeonggwang-gun,56833,746,1.31
3636450,36,Jeollanam-do,36450,Jangseong-gun,46273,1144,2.47
3636460,36,Jeollanam-do,36460,Wando-gun,53174,1237,2.33
3636470,36,Jeollanam-do,36470,Jindo-gun,32746,730,2.23
3636480,36,Jeollanam-do,36480,sinan-gun,43747,660,1.51
3737010,37,Gyeongsangbuk-do,37010,Pohang-si,519368,5492,1.06
3737020,37,Gyeongsangbuk-do,37020,Gyeongju-si,261535,9652,3.69
3737030,37,Gyeongsangbuk-do,37030,Gimcheon-si,135456,1850,1.37
3737040,37,Gyeongsangbuk-do,37040,andong-si,168697,1506,0.89
3737050,37,Gyeongsangbuk-do,37050,gumi-si,420320,6959,1.66
3737060,37,Gyeongsangbuk-do,37060,Yeongju-si,110780,918,0.83
3737070,37,Gyeongsangbuk-do,37070,Yeongcheon-si,100689,3030,3.01
3737080,37,Gyeongsangbuk-do,37080,Sangju-si,102892,988,0.96
3737090,37,Gyeongsangbuk-do,37090,Mungyeong-si,75911,739,0.97
3737100,37,Gyeongsangbuk-do,37100,Gyeongsan-si,253968,7758,3.05
3737310,37,Gyeongsangbuk-do,37310,gunwi-gun,24170,598,2.47
3737320,37,Gyeongsangbuk-do,37320,Uiseong-gun,55212,731,1.32
3737330,37,Gyeongsangbuk-do,37330,Cheongsong-gun,26453,299,1.13
3737340,37,Gyeongsangbuk-do,37340,Yeongyang-gun,18197,215,1.18
3737350,37,Gyeongsangbuk-do,37350,Yeongdeok-gun,39586,754,1.9
3737360,37,Gyeongsangbuk-do,37360,Cheongdo-gun,43993,960,2.18
3737370,37,Gyeongsangbuk-do,37370,Goryeong-gun,35033,1960,5.59
3737380,37,Gyeongsangbuk-do,37380,Seongju-gun,44981,1605,3.57
3737390,37,Gyeongsangbuk-do,37390,Chilgok-gun,122058,4354,3.57
3737400,37,Gyeongsangbuk-do,37400,Yecheon-gun,45104,489,1.08
3737410,37,Gyeongsangbuk-do,37410,Bonghwa-gun,34023,313,0.92
3737420,37,Gyeongsangbuk-do,37420,Uljin-gun,52104,1251,2.4
3737430,37,Gyeongsangbuk-do,37430,Ulleung-gun,10264,151,1.47
3838010,38,Gyeongsangnam-do,38010,Changwon-si,1075168,18611,1.73
3838030,38,Gyeongsangnam-do,38030,Jinju-si,340241,4573,1.34
3838050,38,Gyeongsangnam-do,38050,Tongyeong-si,139439,4522,3.24
3838060,38,Gyeongsangnam-do,38060,Sacheon-si,116485,3398,2.92
3838070,38,Gyeongsangnam-do,38070,Gimhae-si,527240,19691,3.73
3838080,38,Gyeongsangnam-do,38080,Miryang-si,107765,1927,1.79
3838090,38,Gyeongsangnam-do,38090,Geoje-si,248287,14394,5.8
3838100,38,Gyeongsangnam-do,38100,Yangsan-si,292376,5931,2.03
3838310,38,Gyeongsangnam-do,38310,Uiryeong-gun,29209,888,3.04
3838320,38,Gyeongsangnam-do,38320,Haman-gun,68741,3857,5.61
3838330,38,Gyeongsangnam-do,38330,Changnyeong-gun,63502,2073,3.26
3838340,38,Gyeongsangnam-do,38340,Goseong-gun,55916,1922,3.44
3838350,38,Gyeongsangnam-do,38350,Namhae-gun,46638,837,1.79
3838360,38,Gyeongsangnam-do,38360,Hadong-gun,49223,586,1.19
3838370,38,Gyeongsangnam-do,38370,Sancheong-gun,35849,561,1.56
3838380,38,Gyeongsangnam-do,38380,Hamyang-gun,40584,513,1.26
3838390,38,Gyeongsangnam-do,38390,Geochang-gun,63137,528,0.84
3838400,38,Gyeongsangnam-do,38400,Hapcheon-gun,50457,624,1.24
3939010,39,Jeju-do,39010,Jeju-si,448834,10792,2.4
3939020,39,Jeju-do,39020,Seogwipo-si,158512,5073,3.2
