"ID","Classfication","Period","variable","value"
"1162","Whole",2010,"Perfumes.Cosmetics",36.9
"1163","Whole",2011,"Perfumes.Cosmetics",44.9
"1164","Whole",2012,"Perfumes.Cosmetics",46.2
"1165","Whole",2013,"Perfumes.Cosmetics",50.1
"1166","Whole",2014,"Perfumes.Cosmetics",59.6
"1167","Whole",2015,"Perfumes.Cosmetics",61.4
"1168","Whole",2016,"Perfumes.Cosmetics",64.3
"1169","Japan",2001,"Perfumes.Cosmetics",30.7
"1170","Japan",2002,"Perfumes.Cosmetics",26.6
"1171","Japan",2003,"Perfumes.Cosmetics",11
"1172","Japan",2004,"Perfumes.Cosmetics",26.7
"1173","Japan",2005,"Perfumes.Cosmetics",31.3
"1174","Japan",2006,"Perfumes.Cosmetics",16.7
"1175","Japan",2007,"Perfumes.Cosmetics",18.4
"1176","Japan",2008,"Perfumes.Cosmetics",25.6
"1177","Japan",2009,"Perfumes.Cosmetics",37.8
"1178","Japan",2010,"Perfumes.Cosmetics",41.6
"1179","Japan",2011,"Perfumes.Cosmetics",47
"1180","Japan",2012,"Perfumes.Cosmetics",47.5
"1181","Japan",2013,"Perfumes.Cosmetics",43
"1182","Japan",2014,"Perfumes.Cosmetics",43.1
"1183","Japan",2015,"Perfumes.Cosmetics",42.9
"1184","Japan",2016,"Perfumes.Cosmetics",45.7
"1185","China",2001,"Perfumes.Cosmetics",32.5
"1186","China",2002,"Perfumes.Cosmetics",31.3
"1187","China",2003,"Perfumes.Cosmetics",38.7
"1188","China",2004,"Perfumes.Cosmetics",42.2
"1189","China",2005,"Perfumes.Cosmetics",38.1
"1190","China",2006,"Perfumes.Cosmetics",42.1
"1191","China",2007,"Perfumes.Cosmetics",37.8
"1192","China",2008,"Perfumes.Cosmetics",36.9
"1193","China",2009,"Perfumes.Cosmetics",59.6
"1194","China",2010,"Perfumes.Cosmetics",55.6
"1195","China",2011,"Perfumes.Cosmetics",68.9
"1196","China",2012,"Perfumes.Cosmetics",68.5
"1197","China",2013,"Perfumes.Cosmetics",73.1
"1198","China",2014,"Perfumes.Cosmetics",84.4
"1199","China",2015,"Perfumes.Cosmetics",85.4
"1200","China",2016,"Perfumes.Cosmetics",85.5
"1201","Hongkong",2001,"Perfumes.Cosmetics",8.6
"1202","Hongkong",2002,"Perfumes.Cosmetics",17.5
"1203","Hongkong",2003,"Perfumes.Cosmetics",57.7
"1204","Hongkong",2004,"Perfumes.Cosmetics",35
"1205","Hongkong",2005,"Perfumes.Cosmetics",31.9
"1206","Hongkong",2006,"Perfumes.Cosmetics",33.6
"1207","Hongkong",2007,"Perfumes.Cosmetics",38.5
"1208","Hongkong",2008,"Perfumes.Cosmetics",46
"1209","Hongkong",2009,"Perfumes.Cosmetics",59.9
"1210","Hongkong",2010,"Perfumes.Cosmetics",56.7
"1211","Hongkong",2011,"Perfumes.Cosmetics",60.7
"1212","Hongkong",2012,"Perfumes.Cosmetics",48.7
"1213","Hongkong",2013,"Perfumes.Cosmetics",61.7
"1214","Hongkong",2014,"Perfumes.Cosmetics",59.7
"1215","Hongkong",2015,"Perfumes.Cosmetics",60.6
"1216","Hongkong",2016,"Perfumes.Cosmetics",58.3
"1217","Singapore",2001,"Perfumes.Cosmetics",6.2
"1218","Singapore",2002,"Perfumes.Cosmetics",5.9
"1219","Singapore",2003,"Perfumes.Cosmetics",47.9
"1220","Singapore",2004,"Perfumes.Cosmetics",11.9
"1221","Singapore",2005,"Perfumes.Cosmetics",24.1
"1222","Singapore",2006,"Perfumes.Cosmetics",12.6
"1223","Singapore",2007,"Perfumes.Cosmetics",27.2
"1224","Singapore",2008,"Perfumes.Cosmetics",26.5
"1225","Singapore",2009,"Perfumes.Cosmetics",41.9
"1226","Singapore",2010,"Perfumes.Cosmetics",35.1
"1227","Singapore",2011,"Perfumes.Cosmetics",39.8
"1228","Singapore",2012,"Perfumes.Cosmetics",40.6
"1229","Singapore",2013,"Perfumes.Cosmetics",48.1
"1230","Singapore",2014,"Perfumes.Cosmetics",51.3
"1231","Singapore",2015,"Perfumes.Cosmetics",52.2
"1232","Singapore",2016,"Perfumes.Cosmetics",60.2
"1233","Taiwan",2001,"Perfumes.Cosmetics",11.7
"1234","Taiwan",2002,"Perfumes.Cosmetics",15.8
"1235","Taiwan",2003,"Perfumes.Cosmetics",60.1
"1236","Taiwan",2004,"Perfumes.Cosmetics",15.2
"1237","Taiwan",2005,"Perfumes.Cosmetics",19.4
"1238","Taiwan",2006,"Perfumes.Cosmetics",20
"1239","Taiwan",2007,"Perfumes.Cosmetics",22.7
"1240","Taiwan",2008,"Perfumes.Cosmetics",31.6
"1241","Taiwan",2009,"Perfumes.Cosmetics",42.6
"1242","Taiwan",2010,"Perfumes.Cosmetics",46.3
"1243","Taiwan",2011,"Perfumes.Cosmetics",60.7
"1244","Taiwan",2012,"Perfumes.Cosmetics",54.7
"1245","Taiwan",2013,"Perfumes.Cosmetics",58.3
"1246","Taiwan",2014,"Perfumes.Cosmetics",64.6
"1247","Taiwan",2015,"Perfumes.Cosmetics",60.7
"1248","Taiwan",2016,"Perfumes.Cosmetics",54.3
"1249","Thailand",2001,"Perfumes.Cosmetics",22.1
"1250","Thailand",2002,"Perfumes.Cosmetics",23.8
"1251","Thailand",2003,"Perfumes.Cosmetics",48.2
"1252","Thailand",2004,"Perfumes.Cosmetics",28.4
"1253","Thailand",2005,"Perfumes.Cosmetics",28.4
"1254","Thailand",2006,"Perfumes.Cosmetics",16.6
"1255","Thailand",2007,"Perfumes.Cosmetics",16.5
"1256","Thailand",2008,"Perfumes.Cosmetics",26.8
"1257","Thailand",2009,"Perfumes.Cosmetics",53.1
"1258","Thailand",2010,"Perfumes.Cosmetics",32.8
"1259","Thailand",2011,"Perfumes.Cosmetics",30.4
"1260","Thailand",2012,"Perfumes.Cosmetics",40.9
"1261","Thailand",2013,"Perfumes.Cosmetics",64.7
"1262","Thailand",2014,"Perfumes.Cosmetics",67.8
"1263","Thailand",2015,"Perfumes.Cosmetics",59.8
"1264","Thailand",2016,"Perfumes.Cosmetics",62.9
"1265","Malaysia",2001,"Perfumes.Cosmetics",NA
"1266","Malaysia",2002,"Perfumes.Cosmetics",NA
"1267","Malaysia",2003,"Perfumes.Cosmetics",NA
"1268","Malaysia",2004,"Perfumes.Cosmetics",NA
"1269","Malaysia",2005,"Perfumes.Cosmetics",20.3
"1270","Malaysia",2006,"Perfumes.Cosmetics",10.2
"1271","Malaysia",2007,"Perfumes.Cosmetics",16.5
"1272","Malaysia",2008,"Perfumes.Cosmetics",21.1
"1273","Malaysia",2009,"Perfumes.Cosmetics",24.5
"1274","Malaysia",2010,"Perfumes.Cosmetics",23.2
"1275","Malaysia",2011,"Perfumes.Cosmetics",24.3
"1276","Malaysia",2012,"Perfumes.Cosmetics",28.3
"1277","Malaysia",2013,"Perfumes.Cosmetics",44.4
"1278","Malaysia",2014,"Perfumes.Cosmetics",43.2
"1279","Malaysia",2015,"Perfumes.Cosmetics",46.3
"1280","Malaysia",2016,"Perfumes.Cosmetics",53.7
"1281","Australia",2001,"Perfumes.Cosmetics",13
"1282","Australia",2002,"Perfumes.Cosmetics",10.7
"1283","Australia",2003,"Perfumes.Cosmetics",9.4
"1284","Australia",2004,"Perfumes.Cosmetics",20.4
"1285","Australia",2005,"Perfumes.Cosmetics",17.6
"1286","Australia",2006,"Perfumes.Cosmetics",12.2
"1287","Australia",2007,"Perfumes.Cosmetics",9.5
"1288","Australia",2008,"Perfumes.Cosmetics",13.1
"1289","Australia",2009,"Perfumes.Cosmetics",16.3
"1290","Australia",2010,"Perfumes.Cosmetics",65.9
"1291","Australia",2011,"Perfumes.Cosmetics",71.8
"1292","Australia",2012,"Perfumes.Cosmetics",69.1
"1293","Australia",2013,"Perfumes.Cosmetics",13.4
"1294","Australia",2014,"Perfumes.Cosmetics",24.9
"1295","Australia",2015,"Perfumes.Cosmetics",19.7
"1296","Australia",2016,"Perfumes.Cosmetics",22.6
"1297","U.S.A.",2001,"Perfumes.Cosmetics",8.1
"1298","U.S.A.",2002,"Perfumes.Cosmetics",11.4
"1299","U.S.A.",2003,"Perfumes.Cosmetics",8.6
"1300","U.S.A.",2004,"Perfumes.Cosmetics",11.9
"1301","U.S.A.",2005,"Perfumes.Cosmetics",12.8
"1302","U.S.A.",2006,"Perfumes.Cosmetics",3.6
"1303","U.S.A.",2007,"Perfumes.Cosmetics",6.2
"1304","U.S.A.",2008,"Perfumes.Cosmetics",6.3
"1305","U.S.A.",2009,"Perfumes.Cosmetics",7.9
"1306","U.S.A.",2010,"Perfumes.Cosmetics",11.7
"1307","U.S.A.",2011,"Perfumes.Cosmetics",14.3
"1308","U.S.A.",2012,"Perfumes.Cosmetics",13
"1309","U.S.A.",2013,"Perfumes.Cosmetics",11.9
"1310","U.S.A.",2014,"Perfumes.Cosmetics",13.9
"1311","U.S.A.",2015,"Perfumes.Cosmetics",15.8
"1312","U.S.A.",2016,"Perfumes.Cosmetics",22.9
"1313","Canada",2001,"Perfumes.Cosmetics",12.4
"1314","Canada",2002,"Perfumes.Cosmetics",10
"1315","Canada",2003,"Perfumes.Cosmetics",12.8
"1316","Canada",2004,"Perfumes.Cosmetics",14.3
"1317","Canada",2005,"Perfumes.Cosmetics",16.6
"1318","Canada",2006,"Perfumes.Cosmetics",5.4
"1319","Canada",2007,"Perfumes.Cosmetics",8.4
"1320","Canada",2008,"Perfumes.Cosmetics",7.3
"1321","Canada",2009,"Perfumes.Cosmetics",11.2
"1322","Canada",2010,"Perfumes.Cosmetics",6.7
"1323","Canada",2011,"Perfumes.Cosmetics",9.7
"1324","Canada",2012,"Perfumes.Cosmetics",7.3
"1325","Canada",2013,"Perfumes.Cosmetics",16.3
"1326","Canada",2014,"Perfumes.Cosmetics",17.9
"1327","Canada",2015,"Perfumes.Cosmetics",19.3
"1328","Canada",2016,"Perfumes.Cosmetics",22
"1329","U.K.",2001,"Perfumes.Cosmetics",11.4
"1330","U.K.",2002,"Perfumes.Cosmetics",12
"1331","U.K.",2003,"Perfumes.Cosmetics",12.8
"1332","U.K.",2004,"Perfumes.Cosmetics",14.1
"1333","U.K.",2005,"Perfumes.Cosmetics",16.5
"1334","U.K.",2006,"Perfumes.Cosmetics",7.4
"1335","U.K.",2007,"Perfumes.Cosmetics",11.6
"1336","U.K.",2008,"Perfumes.Cosmetics",9.5
"1337","U.K.",2009,"Perfumes.Cosmetics",12.6
"1338","U.K.",2010,"Perfumes.Cosmetics",9.9
"1339","U.K.",2011,"Perfumes.Cosmetics",13.2
"1340","U.K.",2012,"Perfumes.Cosmetics",13.3
"1341","U.K.",2013,"Perfumes.Cosmetics",11.1
"1342","U.K.",2014,"Perfumes.Cosmetics",17.3
"1343","U.K.",2015,"Perfumes.Cosmetics",17.7
"1344","U.K.",2016,"Perfumes.Cosmetics",19.1
"1345","Germany",2001,"Perfumes.Cosmetics",12.8
"1346","Germany",2002,"Perfumes.Cosmetics",11.8
"1347","Germany",2003,"Perfumes.Cosmetics",15.2
"1348","Germany",2004,"Perfumes.Cosmetics",14.1
"1349","Germany",2005,"Perfumes.Cosmetics",12.8
"1350","Germany",2006,"Perfumes.Cosmetics",7
"1351","Germany",2007,"Perfumes.Cosmetics",10
"1352","Germany",2008,"Perfumes.Cosmetics",7
"1353","Germany",2009,"Perfumes.Cosmetics",9.5
"1354","Germany",2010,"Perfumes.Cosmetics",8.3
"1355","Germany",2011,"Perfumes.Cosmetics",15.5
"1356","Germany",2012,"Perfumes.Cosmetics",10.9
"1357","Germany",2013,"Perfumes.Cosmetics",10.9
"1358","Germany",2014,"Perfumes.Cosmetics",12.2
"1359","Germany",2015,"Perfumes.Cosmetics",10.8
"1360","Germany",2016,"Perfumes.Cosmetics",17.1
"1361","France",2001,"Perfumes.Cosmetics",6.1
"1362","France",2002,"Perfumes.Cosmetics",7.4
"1363","France",2003,"Perfumes.Cosmetics",14.5
"1364","France",2004,"Perfumes.Cosmetics",14.4
"1365","France",2005,"Perfumes.Cosmetics",13.1
"1366","France",2006,"Perfumes.Cosmetics",8.2
"1367","France",2007,"Perfumes.Cosmetics",10.4
"1368","France",2008,"Perfumes.Cosmetics",10.5
"1369","France",2009,"Perfumes.Cosmetics",14.3
"1370","France",2010,"Perfumes.Cosmetics",5.4
"1371","France",2011,"Perfumes.Cosmetics",9.9
"1372","France",2012,"Perfumes.Cosmetics",8.9
"1373","France",2013,"Perfumes.Cosmetics",15.5
"1374","France",2014,"Perfumes.Cosmetics",14.4
"1375","France",2015,"Perfumes.Cosmetics",15.7
"1376","France",2016,"Perfumes.Cosmetics",25.7
"1377","Russianfed.",2001,"Perfumes.Cosmetics",31.3
"1378","Russianfed.",2002,"Perfumes.Cosmetics",43
"1379","Russianfed.",2003,"Perfumes.Cosmetics",14.2
"1380","Russianfed.",2004,"Perfumes.Cosmetics",35.2
"1381","Russianfed.",2005,"Perfumes.Cosmetics",35.1
"1382","Russianfed.",2006,"Perfumes.Cosmetics",20.7
"1383","Russianfed.",2007,"Perfumes.Cosmetics",19.1
"1384","Russianfed.",2008,"Perfumes.Cosmetics",21.3
"1385","Russianfed.",2009,"Perfumes.Cosmetics",27.2
"1386","Russianfed.",2010,"Perfumes.Cosmetics",10.5
"1387","Russianfed.",2011,"Perfumes.Cosmetics",12.6
"1388","Russianfed.",2012,"Perfumes.Cosmetics",17.1
"1389","Russianfed.",2013,"Perfumes.Cosmetics",39.9
"1390","Russianfed.",2014,"Perfumes.Cosmetics",32.7
"1391","Russianfed.",2015,"Perfumes.Cosmetics",41.2
"1392","Russianfed.",2016,"Perfumes.Cosmetics",46
"1393","Middleeast",2001,"Perfumes.Cosmetics",NA
"1394","Middleeast",2002,"Perfumes.Cosmetics",NA
"1395","Middleeast",2003,"Perfumes.Cosmetics",NA
"1396","Middleeast",2004,"Perfumes.Cosmetics",NA
"1397","Middleeast",2005,"Perfumes.Cosmetics",7.5
"1398","Middleeast",2006,"Perfumes.Cosmetics",12.9
"1399","Middleeast",2007,"Perfumes.Cosmetics",15.9
"1400","Middleeast",2008,"Perfumes.Cosmetics",13.6
"1401","Middleeast",2009,"Perfumes.Cosmetics",17.8
"1402","Middleeast",2010,"Perfumes.Cosmetics",12.5
"1403","Middleeast",2011,"Perfumes.Cosmetics",17
"1404","Middleeast",2012,"Perfumes.Cosmetics",19.6
"1405","Middleeast",2013,"Perfumes.Cosmetics",18.8
"1406","Middleeast",2014,"Perfumes.Cosmetics",32.3
"1407","Middleeast",2015,"Perfumes.Cosmetics",37.5
"1408","Middleeast",2016,"Perfumes.Cosmetics",42.1
"1409","India",2001,"Perfumes.Cosmetics",NA
"1410","India",2002,"Perfumes.Cosmetics",NA
"1411","India",2003,"Perfumes.Cosmetics",NA
"1412","India",2004,"Perfumes.Cosmetics",NA
"1413","India",2005,"Perfumes.Cosmetics",NA
"1414","India",2006,"Perfumes.Cosmetics",NA
"1415","India",2007,"Perfumes.Cosmetics",NA
"1416","India",2008,"Perfumes.Cosmetics",13.7
"1417","India",2009,"Perfumes.Cosmetics",14.7
"1418","India",2010,"Perfumes.Cosmetics",11.4
"1419","India",2011,"Perfumes.Cosmetics",17.4
"1420","India",2012,"Perfumes.Cosmetics",17.5
"1421","India",2013,"Perfumes.Cosmetics",20.9
"1422","India",2014,"Perfumes.Cosmetics",21.7
"1423","India",2015,"Perfumes.Cosmetics",21.8
"1424","India",2016,"Perfumes.Cosmetics",22.6
"1425","Others",2001,"Perfumes.Cosmetics",12.6
"1426","Others",2002,"Perfumes.Cosmetics",12
"1427","Others",2003,"Perfumes.Cosmetics",33.6
"1428","Others",2004,"Perfumes.Cosmetics",18.8
"1429","Others",2005,"Perfumes.Cosmetics",15.9
"1430","Others",2006,"Perfumes.Cosmetics",12
"1431","Others",2007,"Perfumes.Cosmetics",12.2
"1432","Others",2008,"Perfumes.Cosmetics",9.1
"1433","Others",2009,"Perfumes.Cosmetics",13.4
"1434","Others",2010,"Perfumes.Cosmetics",11.8
"1435","Others",2011,"Perfumes.Cosmetics",18.3
"1436","Others",2012,"Perfumes.Cosmetics",14
"1437","Others",2013,"Perfumes.Cosmetics",14.4
"1438","Others",2014,"Perfumes.Cosmetics",21.4
"1439","Others",2015,"Perfumes.Cosmetics",34
"1440","Others",2016,"Perfumes.Cosmetics",35.1
"1441","Whole",2001,"Ginseng.medicinal.herbs",20.8
"1442","Whole",2002,"Ginseng.medicinal.herbs",20.5
"1443","Whole",2003,"Ginseng.medicinal.herbs",23.4
"1444","Whole",2004,"Ginseng.medicinal.herbs",20.7
"1445","Whole",2005,"Ginseng.medicinal.herbs",23.4
"1446","Whole",2006,"Ginseng.medicinal.herbs",21.3
"1447","Whole",2007,"Ginseng.medicinal.herbs",21.4
"1448","Whole",2008,"Ginseng.medicinal.herbs",17.2
"1449","Whole",2009,"Ginseng.medicinal.herbs",18.8
"1450","Whole",2010,"Ginseng.medicinal.herbs",17.2
"1451","Whole",2011,"Ginseng.medicinal.herbs",15.7
"1452","Whole",2012,"Ginseng.medicinal.herbs",12.2
"1453","Whole",2013,"Ginseng.medicinal.herbs",12.9
"1454","Whole",2014,"Ginseng.medicinal.herbs",9.9
"1455","Whole",2015,"Ginseng.medicinal.herbs",11.6
"1456","Whole",2016,"Ginseng.medicinal.herbs",12.3
"1457","Japan",2001,"Ginseng.medicinal.herbs",12.8
"1458","Japan",2002,"Ginseng.medicinal.herbs",12.4
"1459","Japan",2003,"Ginseng.medicinal.herbs",27.3
"1460","Japan",2004,"Ginseng.medicinal.herbs",9.4
"1461","Japan",2005,"Ginseng.medicinal.herbs",11.1
"1462","Japan",2006,"Ginseng.medicinal.herbs",9.8
"1463","Japan",2007,"Ginseng.medicinal.herbs",11.1
"1464","Japan",2008,"Ginseng.medicinal.herbs",9.1
"1465","Japan",2009,"Ginseng.medicinal.herbs",11.2
"1466","Japan",2010,"Ginseng.medicinal.herbs",8.3
"1467","Japan",2011,"Ginseng.medicinal.herbs",10.3
"1468","Japan",2012,"Ginseng.medicinal.herbs",5.3
"1469","Japan",2013,"Ginseng.medicinal.herbs",6.9
"1470","Japan",2014,"Ginseng.medicinal.herbs",3.8
"1471","Japan",2015,"Ginseng.medicinal.herbs",3.6
"1472","Japan",2016,"Ginseng.medicinal.herbs",4
"1473","China",2001,"Ginseng.medicinal.herbs",45.1
"1474","China",2002,"Ginseng.medicinal.herbs",49.7
"1475","China",2003,"Ginseng.medicinal.herbs",40.1
"1476","China",2004,"Ginseng.medicinal.herbs",45.8
"1477","China",2005,"Ginseng.medicinal.herbs",49.1
"1478","China",2006,"Ginseng.medicinal.herbs",39.1
"1479","China",2007,"Ginseng.medicinal.herbs",37.2
"1480","China",2008,"Ginseng.medicinal.herbs",26.2
"1481","China",2009,"Ginseng.medicinal.herbs",32
"1482","China",2010,"Ginseng.medicinal.herbs",31.2
"1483","China",2011,"Ginseng.medicinal.herbs",26.8
"1484","China",2012,"Ginseng.medicinal.herbs",19.1
"1485","China",2013,"Ginseng.medicinal.herbs",18.9
"1486","China",2014,"Ginseng.medicinal.herbs",12.9
"1487","China",2015,"Ginseng.medicinal.herbs",14.6
"1488","China",2016,"Ginseng.medicinal.herbs",16.3
"1489","Hongkong",2001,"Ginseng.medicinal.herbs",53.2
"1490","Hongkong",2002,"Ginseng.medicinal.herbs",49.6
"1491","Hongkong",2003,"Ginseng.medicinal.herbs",21
"1492","Hongkong",2004,"Ginseng.medicinal.herbs",39.5
"1493","Hongkong",2005,"Ginseng.medicinal.herbs",45
"1494","Hongkong",2006,"Ginseng.medicinal.herbs",45.1
"1495","Hongkong",2007,"Ginseng.medicinal.herbs",46.2
"1496","Hongkong",2008,"Ginseng.medicinal.herbs",38.7
"1497","Hongkong",2009,"Ginseng.medicinal.herbs",30.4
"1498","Hongkong",2010,"Ginseng.medicinal.herbs",27.5
"1499","Hongkong",2011,"Ginseng.medicinal.herbs",16.9
"1500","Hongkong",2012,"Ginseng.medicinal.herbs",15
"1501","Hongkong",2013,"Ginseng.medicinal.herbs",14
"1502","Hongkong",2014,"Ginseng.medicinal.herbs",13.3
"1503","Hongkong",2015,"Ginseng.medicinal.herbs",14.9
"1504","Hongkong",2016,"Ginseng.medicinal.herbs",12.8
"1505","Singapore",2001,"Ginseng.medicinal.herbs",46.5
"1506","Singapore",2002,"Ginseng.medicinal.herbs",50.6
"1507","Singapore",2003,"Ginseng.medicinal.herbs",13.1
"1508","Singapore",2004,"Ginseng.medicinal.herbs",46
"1509","Singapore",2005,"Ginseng.medicinal.herbs",44.9
"1510","Singapore",2006,"Ginseng.medicinal.herbs",51.4
"1511","Singapore",2007,"Ginseng.medicinal.herbs",53.2
"1512","Singapore",2008,"Ginseng.medicinal.herbs",39.2
"1513","Singapore",2009,"Ginseng.medicinal.herbs",45.6
"1514","Singapore",2010,"Ginseng.medicinal.herbs",31.1
"1515","Singapore",2011,"Ginseng.medicinal.herbs",20.2
"1516","Singapore",2012,"Ginseng.medicinal.herbs",19.9
"1517","Singapore",2013,"Ginseng.medicinal.herbs",15.3
"1518","Singapore",2014,"Ginseng.medicinal.herbs",9.3
"1519","Singapore",2015,"Ginseng.medicinal.herbs",10.8
"1520","Singapore",2016,"Ginseng.medicinal.herbs",9.6
"1521","Taiwan",2001,"Ginseng.medicinal.herbs",60.3
"1522","Taiwan",2002,"Ginseng.medicinal.herbs",64.9
"1523","Taiwan",2003,"Ginseng.medicinal.herbs",13.6
"1524","Taiwan",2004,"Ginseng.medicinal.herbs",56.1
"1525","Taiwan",2005,"Ginseng.medicinal.herbs",55.2
"1526","Taiwan",2006,"Ginseng.medicinal.herbs",57.8
"1527","Taiwan",2007,"Ginseng.medicinal.herbs",51.9
"1528","Taiwan",2008,"Ginseng.medicinal.herbs",43.8
"1529","Taiwan",2009,"Ginseng.medicinal.herbs",50.7
"1530","Taiwan",2010,"Ginseng.medicinal.herbs",44.2
"1531","Taiwan",2011,"Ginseng.medicinal.herbs",37.9
"1532","Taiwan",2012,"Ginseng.medicinal.herbs",26.8
"1533","Taiwan",2013,"Ginseng.medicinal.herbs",27.7
"1534","Taiwan",2014,"Ginseng.medicinal.herbs",19
"1535","Taiwan",2015,"Ginseng.medicinal.herbs",18.6
"1536","Taiwan",2016,"Ginseng.medicinal.herbs",29.1
"1537","Thailand",2001,"Ginseng.medicinal.herbs",57.7
"1538","Thailand",2002,"Ginseng.medicinal.herbs",46.2
"1539","Thailand",2003,"Ginseng.medicinal.herbs",22.3
"1540","Thailand",2004,"Ginseng.medicinal.herbs",49.4
"1541","Thailand",2005,"Ginseng.medicinal.herbs",57.9
"1542","Thailand",2006,"Ginseng.medicinal.herbs",45.5
"1543","Thailand",2007,"Ginseng.medicinal.herbs",40.7
"1544","Thailand",2008,"Ginseng.medicinal.herbs",41.7
"1545","Thailand",2009,"Ginseng.medicinal.herbs",39.9
"1546","Thailand",2010,"Ginseng.medicinal.herbs",30.3
"1547","Thailand",2011,"Ginseng.medicinal.herbs",24.1
"1548","Thailand",2012,"Ginseng.medicinal.herbs",27.5
"1549","Thailand",2013,"Ginseng.medicinal.herbs",25.2
"1550","Thailand",2014,"Ginseng.medicinal.herbs",18.7
"1551","Thailand",2015,"Ginseng.medicinal.herbs",18.1
"1552","Thailand",2016,"Ginseng.medicinal.herbs",17
"1553","Malaysia",2001,"Ginseng.medicinal.herbs",NA
"1554","Malaysia",2002,"Ginseng.medicinal.herbs",NA
"1555","Malaysia",2003,"Ginseng.medicinal.herbs",NA
"1556","Malaysia",2004,"Ginseng.medicinal.herbs",NA
"1557","Malaysia",2005,"Ginseng.medicinal.herbs",56.1
"1558","Malaysia",2006,"Ginseng.medicinal.herbs",45.1
"1559","Malaysia",2007,"Ginseng.medicinal.herbs",41.7
"1560","Malaysia",2008,"Ginseng.medicinal.herbs",43.1
"1561","Malaysia",2009,"Ginseng.medicinal.herbs",35.7
"1562","Malaysia",2010,"Ginseng.medicinal.herbs",13.9
"1563","Malaysia",2011,"Ginseng.medicinal.herbs",14.4
"1564","Malaysia",2012,"Ginseng.medicinal.herbs",13.7
"1565","Malaysia",2013,"Ginseng.medicinal.herbs",16
"1566","Malaysia",2014,"Ginseng.medicinal.herbs",13.2
"1567","Malaysia",2015,"Ginseng.medicinal.herbs",8.4
"1568","Malaysia",2016,"Ginseng.medicinal.herbs",5.3
"1569","Australia",2001,"Ginseng.medicinal.herbs",14.5
"1570","Australia",2002,"Ginseng.medicinal.herbs",13.3
"1571","Australia",2003,"Ginseng.medicinal.herbs",10.4
"1572","Australia",2004,"Ginseng.medicinal.herbs",9.6
"1573","Australia",2005,"Ginseng.medicinal.herbs",10.4
"1574","Australia",2006,"Ginseng.medicinal.herbs",7.3
"1575","Australia",2007,"Ginseng.medicinal.herbs",10.2
"1576","Australia",2008,"Ginseng.medicinal.herbs",5.6
"1577","Australia",2009,"Ginseng.medicinal.herbs",9.3
"1578","Australia",2010,"Ginseng.medicinal.herbs",38
"1579","Australia",2011,"Ginseng.medicinal.herbs",26.8
"1580","Australia",2012,"Ginseng.medicinal.herbs",29.2
"1581","Australia",2013,"Ginseng.medicinal.herbs",5.7
"1582","Australia",2014,"Ginseng.medicinal.herbs",5.8
"1583","Australia",2015,"Ginseng.medicinal.herbs",3.7
"1584","Australia",2016,"Ginseng.medicinal.herbs",2.5
"1585","U.S.A.",2001,"Ginseng.medicinal.herbs",15.3
"1586","U.S.A.",2002,"Ginseng.medicinal.herbs",7.9
"1587","U.S.A.",2003,"Ginseng.medicinal.herbs",9.8
"1588","U.S.A.",2004,"Ginseng.medicinal.herbs",10
"1589","U.S.A.",2005,"Ginseng.medicinal.herbs",9.5
"1590","U.S.A.",2006,"Ginseng.medicinal.herbs",7.5
"1591","U.S.A.",2007,"Ginseng.medicinal.herbs",9.1
"1592","U.S.A.",2008,"Ginseng.medicinal.herbs",6.6
"1593","U.S.A.",2009,"Ginseng.medicinal.herbs",5.7
"1594","U.S.A.",2010,"Ginseng.medicinal.herbs",6.1
"1595","U.S.A.",2011,"Ginseng.medicinal.herbs",5.2
"1596","U.S.A.",2012,"Ginseng.medicinal.herbs",6.4
"1597","U.S.A.",2013,"Ginseng.medicinal.herbs",3
"1598","U.S.A.",2014,"Ginseng.medicinal.herbs",2.6
"1599","U.S.A.",2015,"Ginseng.medicinal.herbs",5.3
"1600","U.S.A.",2016,"Ginseng.medicinal.herbs",3
"1601","Canada",2001,"Ginseng.medicinal.herbs",16.1
"1602","Canada",2002,"Ginseng.medicinal.herbs",13.1
"1603","Canada",2003,"Ginseng.medicinal.herbs",16.9
"1604","Canada",2004,"Ginseng.medicinal.herbs",10.8
"1605","Canada",2005,"Ginseng.medicinal.herbs",16.3
"1606","Canada",2006,"Ginseng.medicinal.herbs",8.2
"1607","Canada",2007,"Ginseng.medicinal.herbs",9.7
"1608","Canada",2008,"Ginseng.medicinal.herbs",7.7
"1609","Canada",2009,"Ginseng.medicinal.herbs",10
"1610","Canada",2010,"Ginseng.medicinal.herbs",6
"1611","Canada",2011,"Ginseng.medicinal.herbs",5.2
"1612","Canada",2012,"Ginseng.medicinal.herbs",5.3
"1613","Canada",2013,"Ginseng.medicinal.herbs",4.4
"1614","Canada",2014,"Ginseng.medicinal.herbs",3
"1615","Canada",2015,"Ginseng.medicinal.herbs",3.5
"1616","Canada",2016,"Ginseng.medicinal.herbs",3
"1617","U.K.",2001,"Ginseng.medicinal.herbs",13.4
"1618","U.K.",2002,"Ginseng.medicinal.herbs",12.5
"1619","U.K.",2003,"Ginseng.medicinal.herbs",15.6
"1620","U.K.",2004,"Ginseng.medicinal.herbs",10.8
"1621","U.K.",2005,"Ginseng.medicinal.herbs",10.3
"1622","U.K.",2006,"Ginseng.medicinal.herbs",9.2
"1623","U.K.",2007,"Ginseng.medicinal.herbs",8.7
